2017-Dec-26 10:53:22.043209 INFO    [Blockchain] Wrong index in transaction inputs: 1930, expected maximum 1902
2017-Dec-26 10:53:22.043209 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000009 and count indexes 3
2017-Dec-26 10:53:22.043209 INFO    [Blockchain] Failed to check ring signature for tx b527d70fa49665d8723a4b3afd936570444805b73f1527dda0c883c6b9337653
2017-Dec-26 10:53:22.105609 INFO    [Blockchain] Wrong index in transaction inputs: 29, expected maximum 28
2017-Dec-26 10:53:22.105609 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000960 and count indexes 3
2017-Dec-26 10:53:22.121209 INFO    [Blockchain] Failed to check ring signature for tx 2b5e5d0d7e08ef79d9c3b265e9c0507850f687206e063c457a8fa971c83a9dd1
2017-Dec-26 10:53:22.121209 INFO    [Blockchain] Wrong index in transaction inputs: 28968, expected maximum 27314
2017-Dec-26 10:53:22.136809 INFO    [Blockchain] Failed to get output keys for tx with amount = 4.00000000 and count indexes 3
2017-Dec-26 10:53:22.136809 INFO    [Blockchain] Failed to check ring signature for tx d37b3fb895f73cf69d9eeb94a67cf3fa137cb5abb7ff3bb5c378bc9eb8e13b00
2017-Dec-26 10:53:22.152409 INFO    [Blockchain] Wrong index in transaction inputs: 32616, expected maximum 31369
2017-Dec-26 10:53:22.152409 INFO    [Blockchain] Failed to get output keys for tx with amount = 20.00000000 and count indexes 3
2017-Dec-26 10:53:22.168009 INFO    [Blockchain] Failed to check ring signature for tx 0359deb6ce93e759d0a3aa0ac2910491db500eb76bb5e1a44e851afe74aa90a1
2017-Dec-26 10:53:22.168009 INFO    [Blockchain] Wrong index in transaction inputs: 20748, expected maximum 19942
2017-Dec-26 10:53:22.168009 INFO    [Blockchain] Failed to get output keys for tx with amount = 8.00000000 and count indexes 3
2017-Dec-26 10:53:22.183609 INFO    [Blockchain] Failed to check ring signature for tx b4e6dc3ea7eb0da7390cc10c5e2b624a1427c1f145353b1b29b010c2735ec989
2017-Dec-26 10:53:22.183609 INFO    [Blockchain] Wrong index in transaction inputs: 28821, expected maximum 27314
